date,n_daytime,dk6_mean,seed42_mean,station_mean,idw_mean,nsrdb_mean,mean_dk6_minus_idw,mean_dk6_minus_station,mean_ensemble_minus_seed42,mean_fraction_below,mean_fraction_above,mean_station_csi,station_median_ramp_p95,representative_reason
2024-07-19,180,412.7432224472364,412.3656605891056,397.65000013700006,408.45856,553.0496104081471,4.284668873416053,15.09322231023635,0.3775618581308259,0.21622971285892634,0.3534956304619226,0.6472780272364617,40.02999840424036,
2024-07-20,180,417.89104709037474,416.87865943221584,410.0355546178922,420.05,556.1837874061325,-2.1589696598549684,7.855492472482539,1.0123876581589382,0.2730337078651685,0.27837078651685393,0.6624138515856531,37.97003921008798,
2024-07-21,175,315.6188342047589,311.58508079520294,318.4692052658742,322.5819,417.69361733485573,-6.963054844226156,-2.8503710611153275,4.03375340955598,0.34430176565008025,0.22385232744783304,0.6090755036047527,78.38000541129117,
2024-07-22,176,362.82950958033854,360.01663015863267,293.15965783707384,298.19034,480.18181596627625,64.63916582241654,69.66985174326467,2.812879421705888,0.07099080694586313,0.8605400919305414,0.5454533781686967,41.20000014570951,largest_high_bias
2024-07-23,178,416.8927744818705,415.45987007038644,412.46067194105814,419.25137,557.6565922071986,-2.358601110286257,4.432102540812355,1.4329044114840164,0.2622143668728696,0.2730084585279636,0.657353527592809,46.34001284663825,
2024-07-24,177,392.4470530570732,390.329031798294,389.7553657978321,390.28583,514.9687497900701,2.161208324260631,2.691687259241097,2.118021258779165,0.20583380943312382,0.26725068240969974,0.6624036094563156,165.40000716822942,
2024-07-25,176,398.2654122677208,397.56106406585735,398.0931838828199,400.7825,534.2173763947053,-2.517090573144907,0.17222838490094652,0.7043482018634677,0.24275408580183863,0.26698161389172625,0.6701180320233107,36.46001197274961,
2024-07-26,175,400.5249668013198,399.43849754767757,372.74571447023624,377.10336,537.396111763678,23.42160250536033,27.77925233108358,1.0864692536422185,0.13069020866773676,0.4052969502407705,0.6205989626475743,39.250001804010324,
2024-07-27,174,363.49295967457624,359.41381402956,346.4000011246064,332.01755,477.8425139875242,31.47541641075721,17.09295854996988,4.079145645016227,0.16799044298075683,0.28806664083688494,0.6188540403870331,124.65998832735276,
2024-07-28,175,359.6352992646183,351.0681996647801,323.9908570796317,320.12112,469.003259647668,39.51417635398251,35.644442184986595,8.567099599838256,0.09739967897271269,0.4469020866773676,0.5766480840955461,126.38500075617145,
2024-07-29,176,218.1183744486506,203.51354676222599,216.19090913057798,235.76515,318.3746818576289,-17.64678937200965,1.9274653180726113,14.60482768642462,0.4740168539325843,0.3236082737487232,0.40598670342429116,227.96999542876674,
2024-07-30,175,399.44720252922605,396.96259969711303,400.2382875959796,404.64017,501.6463373014054,-5.192981296948024,-0.7910850667536079,2.4846028321129934,0.2225682182985554,0.20956661316211878,0.6590687524420874,308.62004066760124,
2024-07-31,174,405.20164815430667,402.48115187386674,407.48333160322164,391.417,542.5700476745079,13.784655056979464,-2.2816834489149627,2.720496280439969,0.26737052821903656,0.2367945240862715,0.6581138624199505,55.8399878540433,
2024-08-01,173,400.32297140583825,398.6533935413712,407.2815015271044,405.86322,537.7892208485245,-5.540226224013146,-6.958530121266185,1.669577864467064,0.26131713970253945,0.3009352471260635,0.6712322634768624,38.83502754936416,
2024-08-02,171,367.21254358950415,366.2017080858786,368.68538038140827,369.346,487.5351071299478,-2.1334562341720735,-1.472836791904102,1.010835503625591,0.35537814573887905,0.28329719429660294,0.689078908914711,52.449985022780396,
2024-08-03,170,128.284446871193,114.95529119999094,106.22529443231558,157.37015,232.98907511604432,-29.08570313672809,22.05915243887744,13.329155671202084,0.31252478519497684,0.30237937871777926,0.19460009739679449,63.80000821713254,
2024-08-04,172,382.74589592586597,379.47982042900094,354.1372077359056,367.23563,514.4000194753619,15.51027226645153,28.608688189960382,3.2660754968650467,0.23889469558400836,0.37065586621374447,0.5456348043855627,41.39998930168622,
2024-08-05,171,382.06597893114326,379.74475604391586,379.1087717443842,380.39685,509.5887885941141,1.6691446273821837,2.9572071867590437,2.32122288722741,0.29808134568631317,0.23316249425060778,0.6478953022749452,105.65001130826377,
2024-08-06,170,383.40985546708106,382.08785840553395,378.9529426298119,359.90848,516.693660041339,23.501382424200283,4.4569128372691456,1.321997061547111,0.15836087243886318,0.3004296100462657,0.6630245681194699,37.08003022305345,
2024-08-07,170,385.2297586986247,383.9390354166136,380.55117755915336,368.1115,522.2534150836123,17.11823951058528,4.67858113947136,1.2907232820111163,0.0890284203569068,0.2829477858559154,0.6560546722482232,39.980007927749824,
2024-08-08,170,381.0885959665565,379.6496097783832,383.51647087492773,386.34384,512.0334515215334,-5.25526372281944,-2.427874908371216,1.4389861881732942,0.29709187045604757,0.25551883674818243,0.6632400919409359,61.31999720626626,
2024-08-09,169,358.8277992969434,355.5008040301546,341.9668633268768,351.5493,462.9961668311281,7.278528557021237,16.86093597006658,3.32699526678881,0.21697360547835914,0.26607273452562996,0.6302143601623512,184.22500211081788,
2024-08-10,167,362.28727489361864,360.9412570876811,345.07185514123285,349.17502,490.5140823647176,13.112270616931829,17.215419752385746,1.3460178059375214,0.17065868263473055,0.50874655184014,0.6462689163442144,35.07499539250057,
2024-08-11,166,333.0110841395266,329.2782771980547,332.4024103982504,330.14246,448.38572158106484,2.868631678352873,0.6086737412761923,3.732806941471904,0.2638418843914986,0.35342493569784755,0.5897431686879641,183.739994289346,
2024-08-12,168,367.7115704089935,361.93909798935056,346.6017848777031,318.62347,489.324097552088,49.088080833266886,21.109785531290395,5.772472419642976,0.1771669341894061,0.38048421615837347,0.5748466075885863,173.3099721128783,
2024-08-13,167,378.78140102478557,375.9893295147462,360.32994027838436,358.41342,519.9912444414011,20.367989881488377,18.451460746401207,2.7920715100394036,0.17163425957074616,0.3611653098297787,0.6120743566822863,48.89998342310491,
2024-08-14,167,380.74456512107105,378.6774909807715,373.22335284099387,376.84567,520.763123072059,3.898887705303238,7.5212122800771635,2.0670741402995803,0.2884007266366144,0.28241270268451857,0.6330121125646694,51.9250027562357,
2024-08-15,165,255.72752726032877,245.68037104742095,290.90848503746275,252.1875,353.550628924722,3.540022174065763,-35.180957777133976,10.047156212907849,0.33224378617637046,0.3391556009533538,0.5080144361113057,189.2800236509516,
2024-08-16,165,368.7997160685785,366.8402615920161,364.34727095680176,368.0043,506.1818726439087,0.7953975220521291,4.452445111776739,1.9594544765624133,0.24545454545454545,0.26567926455566904,0.6414570795767235,47.98999058471344,
2024-08-17,165,366.85414429505664,364.88574876265994,368.70666788071196,373.13638,496.9836618523337,-6.282247636534951,-1.8525235856553122,1.9683955323967066,0.3183180115764385,0.2610146407899217,0.6399904135501746,48.20504417870286,
2024-08-18,165,373.66719877945656,371.3474868540511,386.23696821953126,391.69775,513.9379500322752,-18.030555352207386,-12.56976944007468,2.3197119254054446,0.37504256043581885,0.22730677562138235,0.6578835946140867,53.67498756239709,
2024-08-19,164,364.891547691713,363.53379715597487,354.89450904474984,376.8437,485.54794168587125,-11.95212470013194,9.997038646963192,1.3577505357381774,0.272334886270211,0.27216360646752535,0.6110657123712505,139.89999924248607,
2024-08-20,163,354.2985663914516,352.263668631392,356.39816148009714,373.98682,476.3067978901694,-19.688246934371858,-2.0995950886455352,2.0348977600595703,0.3787481905287103,0.23364582615289173,0.6135881629549652,117.37497104257125,
2024-08-21,163,360.222214374257,357.5957565267393,359.90122591551034,360.94025,483.6243157288206,-0.7180287704511654,0.32098845874670756,2.6264578475176923,0.24384779761494452,0.29347901013303923,0.621191815273162,81.59499947641743,
2024-08-22,162,299.0326933934365,292.88799820164286,297.49566504794086,306.7172,429.56331256940706,-7.684494199576201,1.5370283454956117,6.144695191793604,0.29529060896102094,0.3338535164377861,0.5164872968546402,219.90000313998098,
2024-08-23,161,106.7496668208645,92.04231677532937,124.68074446391292,137.40924,227.3492124575557,-30.659577010118443,-17.931077643048425,14.707350045535135,0.42134831460674155,0.29743876055551677,0.26090646717951904,89.03501634987123,
2024-08-24,160,302.56770724095406,293.971153409034,283.7281249295873,311.52765,411.7289292060752,-8.95993167720735,18.839582311366776,8.596553831920028,0.3758426966292135,0.21695926966292137,0.5234698346816004,148.21000852825108,
2024-08-25,160,364.6066464963369,361.9021006173454,363.76437606638757,370.26773,505.84306417630285,-5.661078646499663,0.8422704299493716,2.7045458789914845,0.26875,0.2535814606741573,0.6267336826771498,84.76000153867689,
2024-08-26,160,358.36121359467506,356.6307948422618,358.3262523452312,371.4054,498.5613334777528,-13.044183677434921,0.03496124944384924,1.730418752413243,0.27819522471910113,0.23275983146067417,0.6087996441870928,105.17000686999107,
2024-08-27,159,291.2283160693053,281.30467789901314,300.436476462659,297.29153,432.6006284842138,-6.063221221543708,-9.20816039335371,9.923638170292168,0.25955762843615293,0.30156879372482515,0.5257146307413683,148.26000301115474,
2024-08-28,158,364.1234056793059,362.0910162273087,356.50442953071655,365.014,513.1239287536031,-0.8905941751561587,7.618976148589338,2.0323894519971897,0.21376760062580002,0.29444602474754655,0.5945014588157588,57.260005749235795,
2024-08-29,158,359.79074230922174,358.8827460308241,360.187972488614,369.39514,506.2757824112708,-9.604416642573815,-0.3972301793922639,0.9079962783976446,0.2710496373204381,0.23410610155027733,0.6163280735476108,93.6599891559782,
