pv_name,rmse,mae,r2,gof,n_train,n_val
pv_1075,14.376760548079119,10.704640717051696,0.7430710120670341,85.52059154591859,52042,97
pv_1077,13.639576951544015,9.86832527547153,0.764755422395123,84.52624900036926,52044,97
pv_1079,14.222265306217507,11.254906035317589,0.7375826958548701,86.03557245547458,52050,97
pv_108,14.445408390922525,10.861295858640032,0.7391916128311531,84.34750882481275,52058,97
pv_1081,14.643199988185616,11.440384168661746,0.7314588601568013,85.46174295264245,52049,97
pv_1083,13.93051475365615,10.339838602985303,0.7516647537532215,85.93829184370892,52054,97
pv_1085,13.500095795350875,9.679016832242306,0.7691491187599019,84.65579064394619,52050,97
pv_1087,14.345495390655712,10.881701405884064,0.7426970649128086,85.45713091870073,52044,97
pv_1089,12.875674071928314,10.092555740604695,0.7892216619793889,86.41720437758795,52046,97
pv_1091,16.178790945090412,12.167538481262541,0.6787167942340703,84.4409134916696,52053,97
pv_1093,13.351281474099219,10.44760620857637,0.7716391223364454,85.40701191107934,52059,97
pv_1095,12.45147518678919,9.061898286109118,0.7997727452597537,86.64698544890005,52050,97
pv_1097,14.090576534106972,10.66848487856462,0.7455607405378646,85.66247326305754,52052,97
pv_1099,14.1004804346799,10.812217218482616,0.7466129352181518,84.60718780415164,52056,97
pv_110,14.24163677829697,10.775412151871883,0.7464673806541062,84.56223181742183,52058,97
pv_1101,13.098691783180056,9.823972815422668,0.7829806487545055,85.13027201852042,52045,97
pv_1103,16.72334290596687,12.599678304084797,0.6558402283655935,83.87754665721107,52053,97
pv_1105,12.643450077308797,9.8804914731709,0.796759654228863,86.78798533850265,52058,97
pv_1107,13.537792977760297,10.116598380054395,0.767688484122877,85.69398335884527,52044,97
pv_1109,13.498216678119524,9.952135950993632,0.7702170055619004,84.73389861986381,52061,97
pv_1111,14.038396964234694,10.468037339473508,0.7481275688368623,85.80264754004551,52058,97
pv_1113,14.746022454195554,11.350693093691902,0.7230762623417992,85.0983131736597,52062,97
pv_1115,14.421897222118183,11.20449196695667,0.7414085905860857,85.67064579496072,52053,97
pv_1117,13.061695878820105,10.204354190405498,0.7829191596383563,86.6775128160813,52050,97
pv_1119,13.64160013422901,10.495840461628953,0.76109475527409,85.29516944389208,52048,97
pv_112,13.924208437631664,10.559923535689865,0.7576160267587038,84.90065739184875,52061,97
pv_1121,12.035655510298245,9.042840385633644,0.8130819425982605,87.11090722233847,52048,97
pv_1123,13.165646811449621,10.15207007218882,0.7793120775006617,85.03423957225675,52056,97
pv_1125,15.042098889232166,10.821642844185385,0.7087446286936899,84.40004983499658,52048,97
pv_1127,14.248138725761551,10.82427627960431,0.7407951564015978,85.72321446488378,52053,97
pv_1129,13.483711411997241,9.828083909464251,0.7699230423451917,84.70239389845518,52053,97
pv_1131,14.734242045500023,11.272848768228108,0.7193895879450083,84.59170254319514,52054,97
pv_1133,13.640412181650293,10.283104555016939,0.7630227933154803,85.18484180430251,52050,97
pv_1135,13.389545363864613,10.11291323091873,0.7720887690772413,85.12788373839177,52043,97
pv_1137,13.959582109316793,11.074069014068732,0.7543421049089623,85.77487653683937,52047,97
pv_1139,14.235298742490246,10.674023433149474,0.7361359907714524,85.03183898109694,52054,97
pv_114,15.576580675674773,11.573799143037235,0.6977120117067394,83.30755800199883,52048,97
pv_1141,13.585976462074989,9.976823812041086,0.7671977512453911,84.63215581930852,52060,97
pv_1143,15.630213915245294,11.834356630628871,0.6928338274198125,84.68785835089857,52053,97
pv_1145,13.131920783618813,10.219687845774532,0.7802874103914359,86.13611602507086,52048,97
pv_1147,14.068967124361327,10.420484653121418,0.7495237407312157,85.41173553675603,52058,97
pv_1149,11.53260833252047,8.593771038338081,0.8285922221363659,87.7042597055963,52048,97
pv_1151,12.758692135754373,9.78849935537761,0.7933343577169887,86.55532067371838,52047,97
pv_1153,17.482451103453283,13.199487877475846,0.6204474553023268,83.19516312138043,52049,97
pv_1155,14.873905659897817,11.346773361668145,0.7175391174586279,84.96870566077294,52062,97
pv_1157,13.926674003493876,10.339417341222468,0.7544122139097593,84.19602660251029,52053,97
pv_1159,17.349747527498813,13.148609226985078,0.6267750944680799,83.328909528869,52049,97
pv_116,15.182804463183825,11.195458545291546,0.7127826872321483,83.72569384500757,52047,97
pv_1161,13.823419937312114,10.39283731408955,0.7551730737649878,85.96696459409192,52052,97
pv_1163,16.1451232572147,12.295513833159026,0.6767860619375716,83.84452196289412,52041,97
pv_1165,11.328435760574719,8.785793660866846,0.8366648513518188,87.36790617380011,52046,97
pv_1167,15.975436529183954,12.032978811091981,0.6853746361357482,84.56763388799618,52052,97
pv_1169,13.411663911973578,9.98244165503487,0.7743522813619189,86.27055031893848,52058,97
pv_1171,15.25009968494885,11.651799038009546,0.6982807807145209,84.20864347396689,52048,97
pv_1173,16.600646646614404,12.422239378838198,0.6653910065813822,84.40830623614706,52051,97
pv_1175,11.338396861009409,8.63080642965344,0.8362506932863194,87.3937696460651,52046,97
pv_1177,15.62891682703752,12.196674309938226,0.6938439345599843,84.37362017066427,52056,97
pv_1179,14.746022454195554,11.350693093691902,0.7230762623417992,85.0983131736597,52062,97
pv_118,15.088163870854597,11.256627519351921,0.7163680213210821,83.83029859948807,52046,97
pv_1181,13.317752960174177,10.156901981855176,0.7740368732741579,85.23795121651025,52048,97
pv_1183,13.950696954930368,10.667599270577284,0.7514728426517229,85.93863977967601,52058,97
pv_12,14.292188240407997,10.734498139404758,0.743395299771336,84.17441078479615,52048,97
pv_120,15.133738277957033,11.311509466300308,0.7146484047954187,83.78086060977508,52046,97
pv_122,15.136763734059848,11.451092750890968,0.7145055961132728,83.77218459158216,52046,97
pv_124,15.329463615786034,11.5118612825256,0.7071812740600625,83.56405301441218,52046,97
