datetime,datetime_naive,GHI_clear,solar_elev,GHI_measured,CSI_measured,NSRDB_CSI,S2_CSI,S2_mask,S3_CSI,S3_mask,CSI_IDW_fallback,CSI_zeroshot,CSI_final,GHI_final,source
2024-01-01 04:30:00+00:00,2024-01-01 04:30:00,0.0,-41.96757055471138,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 04:35:00+00:00,2024-01-01 04:35:00,0.0,-42.80622969799922,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 04:40:00+00:00,2024-01-01 04:40:00,0.0,-43.641572560084064,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 04:45:00+00:00,2024-01-01 04:45:00,0.0,-44.47323516935482,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 04:50:00+00:00,2024-01-01 04:50:00,0.0,-45.30083406971132,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 04:55:00+00:00,2024-01-01 04:55:00,0.0,-46.12396373551907,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 05:00:00+00:00,2024-01-01 05:00:00,0.0,-46.94219564253353,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 05:05:00+00:00,2024-01-01 05:05:00,0.0,-47.75507543890883,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 05:10:00+00:00,2024-01-01 05:10:00,0.0,-48.56212174289375,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 05:15:00+00:00,2024-01-01 05:15:00,0.0,-49.36282305393644,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 05:20:00+00:00,2024-01-01 05:20:00,0.0,-50.1566361574426,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 05:25:00+00:00,2024-01-01 05:25:00,0.0,-50.94298330497612,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 05:30:00+00:00,2024-01-01 05:30:00,0.0,-51.72124928069976,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 05:35:00+00:00,2024-01-01 05:35:00,0.0,-52.49077939570021,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 05:40:00+00:00,2024-01-01 05:40:00,0.0,-53.25087580941191,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 05:45:00+00:00,2024-01-01 05:45:00,0.0,-54.00079543113495,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 05:50:00+00:00,2024-01-01 05:50:00,0.0,-54.73974614012421,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 05:55:00+00:00,2024-01-01 05:55:00,0.0,-55.46688462471592,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 06:00:00+00:00,2024-01-01 06:00:00,0.0,-56.18131268983844,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 06:05:00+00:00,2024-01-01 06:05:00,0.0,-56.882075184941336,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 06:10:00+00:00,2024-01-01 06:10:00,0.0,-57.568157184358775,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 06:15:00+00:00,2024-01-01 06:15:00,0.0,-58.238481562056506,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 06:20:00+00:00,2024-01-01 06:20:00,0.0,-58.89190798094741,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 06:25:00+00:00,2024-01-01 06:25:00,0.0,-59.52723120800965,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 06:30:00+00:00,2024-01-01 06:30:00,0.0,-60.14318173474764,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 06:35:00+00:00,2024-01-01 06:35:00,0.0,-60.738426135183595,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 06:40:00+00:00,2024-01-01 06:40:00,0.0,-61.31157014106152,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 06:45:00+00:00,2024-01-01 06:45:00,0.0,-61.861162072576526,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 06:50:00+00:00,2024-01-01 06:50:00,0.0,-62.385699391966675,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 06:55:00+00:00,2024-01-01 06:55:00,0.0,-62.88363668586413,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 07:00:00+00:00,2024-01-01 07:00:00,0.0,-63.35339618141636,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
